515;028001;AC 1ERES C.DE BLAYE. TRADITION  CH L.BERTRANDS;2014;RGE;x 6;75 cl
516;000001;COURSODON AC ST JOSEPH;0;BLC;x 6;75 cl
517;000002;COURSODON AC ST JOSEPH;0;BLC;x 24;37.5 cl
518;000005;COURSODON AC ST JOSEPH;0;RGE;x 6;75 cl
519;000006;COURSODON AC ST JOSEPH;0;RGE;x 24;37.5 cl
520;000007;COURSODON AC ST JOSEPH OLIVAIE;0;RGE;x 6;75 cl
