110;002001;6;7.86
110;002002;18;13.78
110;002003;24;12.44
110;002007;12;12.04
110;002010;6;9.35
110;002011;12;16.67
110;002015;6;16.67
110;002016;20;9.55
110;002017;6;12.44
110;002018;12;7.51
110;002020;60;0.00
110;019008;8;19.80
110;019009;8;11.20
110;025001;240;0.00
110;025010;36;0.00
110;025021;36;0.00
110;028001;60;3.25
110;028005;36;2.80
110;036001;60;0.00
110;039018;60;2.44
110;046010;36;6.90
110;049009;18;2.90
110;051000;120;5.60
110;051017;24;12.70
110;052021;36;9.60
110;052028;60;2.65
110;070002H;36;0.00
110;074012;18;7.60
110;084001;12;19.25
110;084002;1;11.20
110;084006;60;0.00
110;084007;60;0.00
110;084008;30;5.98
110;084015;12;10.75
110;084032;36;5.50
110;089002;12;3.55
110;089900;12;21.25
110;089901;8;13.20
110;099016;36;0.00
110;114010;12;23.10
110;114011;6;13.50
110;115005;48;6.70
110;127001H;36;8.38
110;127005H;24;8.38
110;127011H;24;16.00
110;137001;12;2.80
110;154001H;24;9.76
110;182001H;24;11.88
110;199001;36;6.70
110;199002;18;13.60
110;201001;6;7.65
110;201002;6;13.35
110;201003;6;7.65
110;201004;6;13.35
110;206015H;36;5.59
110;215001H;60;6.50
110;229001;240;2.90
110;805001H;120;0.00
110;805005H;12;0.00
110;805007H;24;0.00
110;CDH068001;30;19.24
110;CDH127001;12;8.38
110;CDH182004;24;37.50
110;CDH805002;30;13.24
110;CDH805003;24;17.65
110;CDH805004;6;0.00
110;CDHGDCRUS;15;0.00
110;CDVECH;2;0.00
111;011005;30;4.99
111;035001;24;4.07
111;048006B;6;12.00
111;049020;60;2.25
111;051133;6;17.70
111;059020;24;3.60
111;059025;36;2.25
111;059026;12;9.90
111;070002H;24;3.05
111;095010;12;4.65
111;153003;12;6.90
111;153012;12;6.60
111;164002;48;6.60
111;174001;36;3.72
111;174003;12;2.12
111;174005;24;2.20
111;174006;12;2.20
111;174009;6;5.90
111;178001H;24;2.23
111;178005H;48;2.19
111;178009H;24;2.29
111;182001H;6;11.88
111;182002H;12;15.75
111;185001H;24;2.80
111;198001H;90;2.87
111;205001;60;2.25
111;205003;12;3.70
111;206001H;12;2.81
111;234001H;6;4.15
111;235001H;12;3.05
111;240002H;12;2.94
111;242001H;12;4.38
111;801003H;6;6.47
111;CDH001004;1;0.00
111;CDH556006;6;9.01
111;CDH556007;6;9.01
111;CDV080009;24;9.00
111;CDVECH;1;0.00
112;002002;10;13.78
112;002015;5;16.67
112;002017;5;12.44
112;058004H;30;6.13
112;075002;36;4.15
112;097004;120;2.10
112;124001;30;4.50
112;124002;120;3.30
112;169009;10;18.50
112;205003;36;3.70
112;CDVECH;1;0.00
113;002001;5;7.86
113;002002;10;13.78
113;002017;8;12.44
113;002018;8;7.51
113;002020;60;2.45
113;002027;600;0.00
113;002101;600;1.78
113;002200;10;6.95
113;002903;10;22.90
113;007001;12;4.00
113;007003;24;5.50
113;007004;18;7.25
113;011001;240;3.99
113;028001;60;3.25
113;028013;120;4.45
113;035001;60;4.07
113;035002;24;2.53
113;039018;60;2.44
113;040006;240;3.65
113;040011;24;2.25
113;049007;36;3.35
113;049015;36;2.90
113;049016;24;1.85
113;050001;60;3.25
113;051000;36;5.60
113;051010/11;30;8.10
113;051017;30;12.70
113;051133;24;17.70
113;059002;36;2.10
113;059024;15;6.00
113;059025;60;2.25
113;059026;5;9.90
113;059104;60;3.70
113;062003;36;4.30
113;074013;30;4.65
113;083003;36;2.15
113;084006;120;2.75
113;089903;600;4.10
113;095001;120;3.70
113;096010H;12;6.38
113;099001;36;1.59
113;099002;30;1.74
113;100001H;12;18.75
113;100002H;6;18.75
113;113001;12;5.70
113;113005;12;6.00
113;114001;120;2.75
113;114002;24;1.69
113;115005;36;6.40
113;124010;48;6.30
113;127001H;24;8.38
113;127008H;120;4.75
113;152001;12;5.65
113;153001;12;5.80
113;153003;48;6.90
113;162001;36;2.90
113;169010;1;10.50
113;174002;42;6.20
113;174016;1;9.96
