ID;Nom;Référence;Catégorie;Prix de base;Quantite;Etat;Millesime;Poids;U.C.;Cont;Coul;Caractéristiques
217;Les Terrasses;190001;CHATEAU PIQUE PERLOU;4,5;1000;0;2013;1,33;x 6;75 cl;;annee:2013,couleur:,contenant:75 cl,conditionnement:x 6
313;Les Pontaix;163003;DOMAINE FAYOLLE FILS ET FILLE;8,1;2000;0;2014;1,33;x 6;75 cl;;annee:2014,couleur:,contenant:75 cl,conditionnement:x 6
414;AOP CHINON JM RAFFAULT;037005;DOMAINE JEAN-MAURICE RAFFAULT;3,85;2000;1;2014;1,33;x 6;75 cl;RSE;annee:2014,couleur:RSE,contenant:75 cl,conditionnement:x 6
173;IGP PAYS D'OC BALLADE EN STRAMINER BACHELLERY;206015H;DOMAINE DE BACHELLERY;5,59;1000;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
28;AOP CORBIERES CASTELMAURE;084002;VIGNOBLE CASTELMAURE;11,2;3608;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
255;AOP COSTIERES DE NIMES TERRE DES LAUNES GALLICIAN;002020;CAVE GALLICIAN;2,45;1868;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
356;AOP MUSCADET SEVRE&MAINE/LIE FOLIETTES;157001;DOMAINE DE LA FOLIETTE;3,05;1904;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
487;AOP SANCERRE CUVEE MARECHAL DOMAINE DE ST-PIERRE;080007;DOMAINE DE SAINT-PIERRE;10,5;2000;1;2013;1,33;x 12;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 12
147;AOP COTES DE BERGERAC MOELLEUX CHATEAU LES MARNIERES;110600;CHATEAU LES MARNIERES;3,15;976;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
197;AOP LANGUEDOC LE ROUGE TURNER-PAGEOT;228002H;DOMAINE TURNER PAGEOT;7,19;940;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
291;AOP CONDRIEU LAURENT MARTHOURET;127011H;LAURENT MARTHOURET;16;2000;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
814;IGP PAYS D'OC MERLOT;002002;CAVE GALLICIAN;7,86;0;1;NM;10,2;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
393;AOP MEURSAULT CHARLES MAXIME;CDH-022002;DOMAINE LATOUR-GIRAUD;20;2000;1;2012;1,33;x 6;75 cl;BLC;annee:2012,couleur:BLC,contenant:75 cl,conditionnement:x 6
86;AOP GRAVES CHATEAU LA ROSE SARRON;168001;CHATEAU LA ROSE SARRON;4,1;670;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
654; AOP POMEROL CHATEAU BEAU SOLEIL;563002H;CHATEAU BEAU SOLEIL;34,93;2000;1;2013;1,33;x 6;150 cl;RGE;annee:2013,couleur:RGE,contenant:150 cl,conditionnement:x 6
554;AOP VOUVRAY METHODE TRADITIONNELLE BRUT BIO;010019;DOMAINE VIGNEAU-CHEVREAU;5,3;2000;1;2016;1,33;x 6;75 cl;BLC;annee:2016,couleur:BLC,contenant:75 cl,conditionnement:x 6
126;AOP ST JULIEN CRU BOURGEOIS CHATEAU MOULIN DE LA ROSE 2013;182002H;VIGNOBLE DELON;15,75;1000;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
