ID;Nom;Référence;Catégorie;Prix de base;Quantite;Etat;Millesime;Poids;U.C.;Cont;Coul;Caractéristiques
376;AOP CHAMPAGNE PANNIER BRUT BLANCS DE NOIR CUVEE LOUIS EUGENE MILLESSIME;CDH-001016;CHAMPAGNE;22,26;2000;1;NM;1,33;x 6;75 cl;BLC;annee:NM,couleur:BLC,contenant:75 cl,conditionnement:x 6
135;"IGP COMTE TOLOSAN MERLOT TANNAT ETC"" Vignerons du Quercy""";214002H;LES VIGNERONS DU QUERCY;2,35;933;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
801;AOP MENETOU-SALON DOMAINE DU PRIEURE;113006;DOMAINE DU PRIEURE;6;2000;1;2015;0,63;x 12;37.5 cl;RGE;annee:2015,couleur:RGE,contenant:37.5 cl,conditionnement:x 12
640;AOP COTES DE CASTILLON CHATEAU DE BELCIER;052055;GIRONDE ET GASCOGNE;6,85;0;1;2009;1,33;x 6;75 cl;RGE;annee:2009,couleur:RGE,contenant:75 cl,conditionnement:x 6
66;AOP COTES DE BOURG CHATEAU DE LA GRAVE;040017;CHATEAU DE LA GRAVE;8,2;1000;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
607;AOP BORDEAUX SUPERIEUR CHATEAU GAURY-BALETTE;019014;VIGNOBLE YON;1,7;0;1;2010;0,63;x 12;37.5 cl;RGE;annee:2010,couleur:RGE,contenant:37.5 cl,conditionnement:x 12
512;IGP PAYS D'OC SAUVIGNON HAUTS DE SENAUX;099022;ORMARINE;2,24;200;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
220;IGP PAYS D'OC CHARDONNAY DOMAINE DES HOMS;119002;DOMAINE DES HOMS;3,6;1988;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
316;AOP CROZE HERMITAGE SENS;163001H;DOMAINE FAYOLLE FILS ET FILLE;7,05;1982;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
417;AOP CHINON VIEILLES VIGNES DOMAINE GARNIER;116006;DOMAINE FABRICE GASNIER;5,55;2000;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
176;IGP PAYS D'OC CABERNET FRANC DOMAINE DE MUS;206006H;DOMAINE DE MUS;2,81;982;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
558;AOP COTES DE LA MALEPERE CHATEAU DES COINTES;097002;CHATEAU DE COINTES;2,75;200;0;2009;1,33;x 6;75 cl;RSE;annee:2009,couleur:RSE,contenant:75 cl,conditionnement:x 6
31;VDN MUSCAT DE RIVESALTES LES VIGNERONS DES COTES D'AGLY ;039002;LES VIGNERONS DES COTES D'AGLY;20,83;196;1;2012;5,5;x 1;B05L;BLC;annee:2012,couleur:BLC,contenant:B05L,conditionnement:x 1
258;AOP COSTIERES DE NIMES CUVEE PRESTIGE GALLICIAN;002021;CAVE GALLICIAN;2,19;2000;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
359;Bodegas Aranleon ;CDH-176002;VIN D'ESPAGNE;3,65;2000;1;2011;1,33;x 6;75 cl;RGE;annee:2011,couleur:RGE,contenant:75 cl,conditionnement:x 6
455;AOP POUILLY-FUISSE VIEILLES VIGNES;025021;DOMAINE DES DEUX ROCHES;10,7;2000;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
492;Caisse bois 3 bouteilles ;995007H;Caisse bois ;7,18;1990;1;NM;3,3;x 1;;;annee:NM,couleur:,contenant:,conditionnement:x 1
150;AOP MADIRAN DOMAINE DU MOULIE;213001H;DOMAINE DU MOULIE;4,51;970;1;2008;1,33;x 6;75 cl;RGE;annee:2008,couleur:RGE,contenant:75 cl,conditionnement:x 6
200;AOP PIC SAINT LOUP CUVEE SPECIALE FUT DE CHENE;174002;LES COTEAUX DU PIC;6,2;958;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
295;AOP COTES DU RHONE CHATEAU DES ROQUES;115005;CHATEAU DES ROQUES;6,7;3922;0;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
824;IGP D'OC Merlot;002903;CAVE GALLICIAN;7,86;2000;0;;5,5;x 1;;;annee:,couleur:,contenant:,conditionnement:x 1
396;AOP Meursault 1er cru Les Charmes 2009;CDH-022001;DOMAINE LATOUR-GIRAUD;26,47;2000;1;2009;1,33;x 6;75 cl;BLC;annee:2009,couleur:BLC,contenant:75 cl,conditionnement:x 6
89;AOP GRAVES CHATEAU CARBON D'ARTIGUES;062003;CHATEAU CARBON D'ARTIGUES;4,4;976;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
657;IGP PAYS D'OC ROSE OSE CASTELNAU;178007H;DOMAINE DE CASTELNAU;6,88;0;1;2013;1,47;x 6;150 cl;RSE;annee:2013,couleur:RSE,contenant:150 cl,conditionnement:x 6
336;AOP BROUILLY DOMAINE DUBOST;126006H;DOMAINE DUBOST;6,88;1982;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
435;AOP MENETOU-SALON DOMAINE DU PRIEURE;113005;DOMAINE DU PRIEURE;6;4000;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
130;AOP MARGAUX DEYREM VALENTIN;107006H;CHATEAU DEYREM VALENTIN;29,19;994;1;2012;1,47;x 6;150 cl;RGE;annee:2012,couleur:RGE,contenant:150 cl,conditionnement:x 6
795;AOP CHAMPAGNE PANNIER BRUT SELECTION;CDH-001002;CHAMPAGNE;9,17;2000;1;NM;0,63;x 12;37.5 cl;BLC;annee:NM,couleur:BLC,contenant:37.5 cl,conditionnement:x 12
633;AOP GRAVES CHATEAU CARBON D'ARTIGUES;062001;CHATEAU CARBON D'ARTIGUES;2,5;0;1;2013;0,63;x 24;37.5 cl;RGE;annee:2013,couleur:RGE,contenant:37.5 cl,conditionnement:x 24
530;AOP LUBERON TERRE DE SAFRES;242001H;DOMAINE LE NOVI ;4,37;200;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
238;AOP COTES DE PROVENCE ESTERELLE CHATEAU DU ROUET;059020;CHATEAU DU ROUET;3,6;1268;1;2014-2015;1,33;x 6;75 cl;RSE;annee:2014-2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
774;AOP CABERNET D'ANJOU DOMAINE GAGNEBERT;184001H;DOMAINE DE GAGNEBERT;15,64;200;1;2012;10,5;x 1;B10L;RSE;annee:2012,couleur:RSE,contenant:B10L,conditionnement:x 1
507;AOP ST ESTEPHE LA CHAPELLE DE CALON;CDH-564003;GRANDS CRUS CLASSES;13;1964;1;2011;1,33;x 6;75 cl;RGE;annee:2011,couleur:RGE,contenant:75 cl,conditionnement:x 6
215;Les Sagnes;192003H;MARQUISE DES MURES;6,5;1000;0;2009;1,33;x 6;75 cl;;annee:2009,couleur:,contenant:75 cl,conditionnement:x 6
311;AOP COTES DU RHONE VILLAGE GARANCE DOMAINE CABOTTE;171001H;DOMAINE CABOTTE;6,19;1988;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
412;AOP CHINON;037003;DOMAINE JEAN-MAURICE RAFFAULT;3,8;1988;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
170;IGP PAYS D'OC ROSE OSE DOMAINE CASTELNAU;178005H;DOMAINE DE CASTELNAU;2,19;982;1;2014;1,33;x 6;75 cl;RSE;annee:2014,couleur:RSE,contenant:75 cl,conditionnement:x 6
108;AOP MOULIS EN MEDOC CHATEAU TOUR GRANINS GRAND POUJEAUX;094001;CHATEAU GRANINS GRAND POUJEAUX;5,3;964;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
58;AOP 1ERES COTES DE BLAYE CHATEAU LES BERTRANDS;028015CB;CHATEAU LES BERTRANDS;13,9;1000;1;2014;1,4;x 3 CB;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 3 CB
354;AOP GAMAY TOURAINE DOMAINE DE LA CHAISE;114005;DOMAINE DE LA CHAISE;2,35;3982;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
450;MARQUISE DES LYS BLANC DE BLANC;198001H;MARQUISE DES LYS;2,87;1820;1;2016;1,33;x 6;75 cl;BLC;annee:2016,couleur:BLC,contenant:75 cl,conditionnement:x 6
485;AOP SANCERRE LES COINCHES DOMAINE DE ST-PIERRE;080008;DOMAINE DE SAINT-PIERRE;9;2000;0;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
145;IGP COTES DE GASCOGNE DOMAINE MISELLE;205002;DOMAINE DE MISELLE;2,4;940;1;2015;1,33;x 6;75 cl;RSE;annee:2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
195;IGP PAYS D'OC COTEAUX DE MURVIEL LA DIVA;208002H;MAS DES DAMES;7,81;988;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
289;AOP VACQUEYRAS DOMAINE GRANDY;201007;CAVE LES COTEAUX DU RHONE;5,6;2000;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
812;AOP CROZES HERMITAGE LES PONTAIX;163008H;DOMAINE FAYOLLE FILS ET FILLE;20;2000;1;2010;1,47;x 6;150 cl;RGE;annee:2010,couleur:RGE,contenant:150 cl,conditionnement:x 6
391;VIN DE PORTO;CDH-556007;PORTOS;9,01;2000;1;NM;1,33;x 6;75 cl;RSE;annee:NM,couleur:RSE,contenant:75 cl,conditionnement:x 6
84;AOP ST EMILION CLOS TRIMOULET;051010/11;VIGNOBLE APPOLLOT;8,1;322;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
652;AOP POMEROL CHATEAU BEAU SOLEIL;563002H;CHATEAU BEAU SOLEIL;35,3;2000;0;2012;1,47;x 6;150 cl;RGE;annee:2012,couleur:RGE,contenant:150 cl,conditionnement:x 6
551;IGP PAYS D'OC L'EPICERIE DE CASTELNAU;178017H;DOMAINE DE CASTELNAU;2;1982;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
26;AOP COTEAUX DU LYONNAIS DOMAINE DU PETIT FROMENTIN;224002H;DOMAINE PETIT FROMENTIN;15;1100;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
253;IGP GARD GRES D'OR GALLICIAN;002100;CAVE GALLICIAN;1,78;3928;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
790;AOP GEWURZTRAMINER DOMAINE DUSSOURT;007021;DOMAINE ANDRE DUSSOURT;7,25;2000;1;2010;0,63;x 12;37.5 cl;BLC;annee:2010,couleur:BLC,contenant:37.5 cl,conditionnement:x 12
625;AOP MONTAGNE ST EMILION CHATEAU CHEVALIER ST-GEORGES;051016;VIGNOBLE APPOLLOT;3,3;0;1;2012;0,63;x 24;37.5 cl;RGE;annee:2012,couleur:RGE,contenant:37.5 cl,conditionnement:x 24
525;IGP VDP DES BOUCHES DU RHONE RESERVE DE GARDIAN;240001H;MAS DE VALERIOLE ;2,95;164;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
233;AOP COTES DU ROUSSILLON NOTRE DAME DE LAVAL;039018;VIGNERONS DES COTES D'AGLY;2,44;1000;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
331;AOP COTEAUX BOURGUIGNON DOMAINE DU BOIS DU JOUR;229008;DOMAINE DU BOIS DU JOUR;3,8;4000;1;2014-2015;1,33;x 6;75 cl;RGE;annee:2014-2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
430;AOP ALOXE CORTON DOMAINE DUBREUIL FONTAINE;CDH-068001;DOMAINE DUBREUIL-FONTAINE;18,39;2000;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
124;AOP ST ESTEPHE CRU BOURGEAOIS CHATEAU SEGUR DE CABANAC 2012;182001H;VIGNOBLE DELON;11,88;1000;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
576;IGP VAUCLUSE D'ORANGE CAVE LES COTEAUX DU RHONE;201001;CAVE LES COTEAUX DU RHONE;7,65;0;1;2013;5,5;x 1;B05L;RGE;annee:2013,couleur:RGE,contenant:B05L,conditionnement:x 1
272;AOP VENTOUX PENSEE SAUVAGE;204006H;DOMAINE DU BON REMEDE;2,61;2000;1;2015;1,33;x 6;75 cl;RSE;annee:2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
372;AOP MAREUIL FIEFS VENDEENS ROSE;142002H;LE CLOS DES CHAUMES;3,45;2000;1;2013;1,33;x 6;75 cl;RSE;annee:2013,couleur:RSE,contenant:75 cl,conditionnement:x 6
210;AOP FAUGERES ROMY CHATEAU HAUT-LIGNIERES;050005;CHATEAU HAUT-LIGNIERES;4,4;1000;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
469;AOP CHABLIS VIEILLES VIGNES DOMAINE FILLON;095014;DOMAINE FILLON;6,8;3970;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
305;AOP COTES DU RHONE ESPRIT DEVIN (SC);134500;DOMAINE GALEVAN;7,43;2000;1;2011;1,33;x 6;75 cl;RGE;annee:2011,couleur:RGE,contenant:75 cl,conditionnement:x 6
505;AOP ST JULIEN AMIRAL DE BEYCHEVELLE;CDH-564004;GRANDS CRUS CLASSES;23,13;2000;1;2011;1,33;x 6;75 cl;RGE;annee:2011,couleur:RGE,contenant:75 cl,conditionnement:x 6
407;AOP SAUMUR LA PALEINE;089010;DOMAINE DE LA PALEINE;3,7;1988;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
165;IGP PAYS D'OC VIOGNIER L'ILE CASTELNAU;178002H;DOMAINE DE CASTELNAU;2,44;814;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
844;IGP DES CEVENNES;187002H;VIGNERONS DE TORNAC;9,26;50;1;NM;5,5;x 1;B05L;RSE;annee:NM,couleur:RSE,contenant:B05L,conditionnement:x 1
103;AOP MEDOC B DE LA BRANNE;180001H;CHATEAU LA BRANNE;3,69;1000;0;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
49;AOP SAINT EMILION JUPILLE CARILLON;164010;CHATEAU JUPILLE CARILLON;19;395;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
769;IGP SAINT GUILHEM LE DESERT GRENACHE;036010;LA CAVE DE MONTPEYROUX;7,35;200;1;NM;10,5;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
386;PORTO FINE RUBY QUINTA SANTA EUFEMIA;CDH-556002;PORTOS;9,01;1996;1;NM;1,33;x 6;75 cl;RGE;annee:NM,couleur:RGE,contenant:75 cl,conditionnement:x 6
143;IGP COTES DE GASCOGNE SEC COLOMBARD G-MANSENG MISELLE;205001;DOMAINE DE MISELLE;2,25;873;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
810;AOP CHABLIS VIEILLES VIGNES DOMAINE FILLON;095015;DOMAINE FILLON;6,8;2000;1;2012;0,63;x 12;37.5 cl;BLC;annee:2012,couleur:BLC,contenant:37.5 cl,conditionnement:x 12
543;IGP VAUCLUSE D'ORANGE VIOGNIER;201018;CAVE LES COTEAUX DU RHONE;6,25;187;1;2015;3,2;x 1;B03L;BLC;annee:2015,couleur:BLC,contenant:B03L,conditionnement:x 1
20;VDP DES CEVENNES;187001H;VIGNERONS DE TORNAC;9,26;331;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
248;AOP BANDOL DOMAINE DE LA GARENNE;159002H;DOMAINE DE LA GARENNE;7,19;1982;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
348;AOP CHATEAU CHALON EN BEAUMONT VIN JAUNE DOMAINE GRAND;CDH-222001 ;DOMAINE GRAND;27,81;2000;1;2007;1,33;x 6;62 cl;BLC;annee:2007,couleur:BLC,contenant:62 cl,conditionnement:x 6
445;AOP BEAUNE 1ER CRU LES BOUCHEROTTES;CDH-801008;DOMAINE FRANCOIS CHARLES;17,53;2000;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
480;IGP ILE DE BEAUTE CASANOVA;235001H;DOMAINE CASANOVA ;3,05;1634;1;2015;1,33;x 6;75 cl;RSE;annee:2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
190;AOP COTEAUX DU LANGUEDOC LA CHAPELLE DE BEBIAN;199001;PRIEURE ST JEAN DE BEBIAN;6,7;982;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
284;AOP COTES DU RHONE MAGIE D'UNE TERRE;201016;CAVE LES COTEAUX DU RHONE;1,72;2000;1;2014;0,63;x 12;37.5 cl;RGE;annee:2014,couleur:RGE,contenant:37.5 cl,conditionnement:x 12
520;IGP VALLEE DU TORGAN ET DU PARADIS CARIGNAN LES GARRIGUES;241002H;CAVE DE MONT TAUCH ;2,95;176;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
228;VDF LA BUVETTE DE CASTELMAURE;084004;DOMAINE CASTELMAURE;2,1;922;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
324;AOP GEWURZTRAMINER VENDANGES TARDIVES;007010;DOMAINE ANDRE DUSSOURT;18,65;1988;1;2007;1,33;x 6;75 cl;BLC;annee:2007,couleur:BLC,contenant:75 cl,conditionnement:x 6
425;AOP QUINCY DOMAINE SIRET COURTAUD;152001;DOMAINE VINCENT SIRET COURTAUD;5,65;1856;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
119;CAISSE BOIS 2 BOUTEILLES LES HAUTS DE PEZ;CDV041016;CHATEAU TOUR DE PEZ;4,3;1000;1;2009;2,66;x 2;75 cl;RGE;annee:2009,couleur:RGE,contenant:75 cl,conditionnement:x 2
784;AOP COTES DE PROVENCE BELLE POULE;059014;CHATEAU DU ROUET;5,5;2000;1;2014;1,47;x 3;150 cl;RSE;annee:2014,couleur:RSE,contenant:150 cl,conditionnement:x 3
74;AOP PUISSEGUIN ST EMILION CHATEAU GUIBEAU;048006B;VIGNOBLE HENRI-BOURLON;12;988;1;2012;1,47;x 6;150 cl;RGE;annee:2012,couleur:RGE,contenant:150 cl,conditionnement:x 6
618;AOP COTES DE BOURG CARACTERE CHATEAU DE LA GRAVE;040015;CHATEAU DE LA GRAVE;5,1;0;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
208;AOP FAUGERES LE 1ER CHATEAU HAUT LIGNIERES;050001;CHATEAU HAUT-LIGNIERES;3,25;940;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
303;AOP GIGONDAS CLOS DU JONCUAS;217003H;CLOS DU JONCUAS;10,83;1964;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
832;IGP PAYS D'OC MERLOT CAVE GALLICIAN;002903;CAVE GALLICIAN;7,86;0;1;NM;20,5;x 1;B20L;RGE;annee:NM,couleur:RGE,contenant:B20L,conditionnement:x 1
405;AOP SAVENNIERES - CROIX PICOT - DOM. FL;225001H;DOMAINE FL;7,13;1982;1;2012;1,33;x 6;75 cl;BLC;annee:2012,couleur:BLC,contenant:75 cl,conditionnement:x 6
98;AOP PESSAC LEOGNAN CHATEAU MANCEDRE;054011;VIGNOBLE ROY TROCARD;8,9;886;1;2011;1,33;x 6;75 cl;RGE;annee:2011,couleur:RGE,contenant:75 cl,conditionnement:x 6
44;AOP COTES DE BORDEAUX LES HAUTS DE PERREAU BEL AIR;169010;LES HAUTS DE PERREAU BEL AIR;10,5;764;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
764;IGP PAYS D'OC MERLOT-CABERNET TERROIR DES CIGALES;174010;LES COTEAUX DU PIC;7,84;15;1;NM;10,2;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
566;IGP MEDITERRANEE LES COTEAUX DU RHONE;201004;CAVE LES COTEAUX DU RHONE;13,35;-28;1;NM;10,2;x 1;B10L;RSE;annee:NM,couleur:RSE,contenant:B10L,conditionnement:x 1
39;AOP COTES DE DURAS ;086002;LA CAVE DE BERTICOT;9,91;400;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
267;IGP GARD CHAMPETRE;160002H;DOMAINE LACOSTE DU PUY;2,88;1982;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
367;AOP VOUVRAY TRANQUILLE SEC;010001;DOMAINE VIGNEAU-CHEVREAU;5,3;1910;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
463;AOP BOURGOGNE EPINEUIL DOMAINE GARNIER;CDV153011;DOMAINE GARNIER;6,6;2000;1;2013-2014;1,33;x 6;75 cl;RGE;annee:2013-2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
500;Etui vide 1 Magnum ;CDH-990418;Etuis kraft;1,38;2000;1;NM;0,63;x 1;;;annee:NM,couleur:,contenant:,conditionnement:x 1
158;IGP COTES DE THAU VILLEMARIN;099003;ORMARINE;1,78;826;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
15;AOP COSTIERES DE NIMES;002010;CAVE GALLICIAN;9,35;7822;1;NM;5,5;x 1;B05L;RGE;annee:NM,couleur:RGE,contenant:B05L,conditionnement:x 1
243;AOP COTES DE PROVENCE BELLE POULE;059006;CHATEAU DU ROUET;5,5;1000;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
342;AOP VIN DE SAVOIE SOUS LES CEDRES CHIGNIN BERGERON;CDH-191002;DOMAINE DU CHATEAU DE LA VIOLETTE;8,61;1994;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
440;AOP SANCERRE DOMAINE DE ST PIERRE;080010;DOMAINE DE SAINT-PIERRE;6,45;3898;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
472;AOP BLANQUETTE DE LIMOUX PREMIERES BULLES BRUT;226001;SIEUR D'ARQUES;5,05;1976;1;2016;1,33;x 6;75 cl;BLC;annee:2016,couleur:BLC,contenant:75 cl,conditionnement:x 6
185;AOP COTEAUX DU LANGUEDOC LA ROBE DE POURPRE;046010;DOMAINE D'ARCHIMBAUD;6,9;1000;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
279;AOP LUBERON FIEF;202005;LOUERION TERRES D'ALLIANCE;2,8;2000;1;2014;1,33;x 6;75 cl;RSE;annee:2014,couleur:RSE,contenant:75 cl,conditionnement:x 6
380;ICE PAMPLOON ROSE;059101;LE ROUET;1,8;0;0;;1,33;x 6;75 cl;;annee:,couleur:,contenant:75 cl,conditionnement:x 6
138;IGP COMTE TOLOSAN - LEO & CO;220022H;CAVE DE LABASTIDE DE LEVIS;2,19;978;1;2015;1,33;x 6;75 cl;BLC;annee:2015,couleur:BLC,contenant:75 cl,conditionnement:x 6
804;AOP HAUTES COTES DE BEAUNE TRADITION DOMAINE FRANCOIS CHARLES;CDH-801009;DOMAINE FRANCOIS CHARLES;6,47;1994;1;2014;1,47;x 3;150 cl;RGE;annee:2014,couleur:RGE,contenant:150 cl,conditionnement:x 3
223;AOP CABARDES CHATEAU JOUCLARY;162003;CHATEAU JOUCLARY;2,9;916;1;2015;1,33;x 6;75 cl;RSE;annee:2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
319;AOP RIESLING TRADITION;007002;DOMAINE ANDRE DUSSOURT;4,6;3970;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
420;AOP ROSE DE LOIRE DOMAINE DE LA MOTTE;185003H;DOMAINE DE LA MOTTE;2,69;1982;1;2014;1,33;x 6;75 cl;RSE;annee:2014,couleur:RSE,contenant:75 cl,conditionnement:x 6
113;AOP COTES DE CASTILLON CHATEAU DE BELCIER;052054;GIRONDE ET GASCOGNE;5,95;982;1;2007;1,33;x 12 CB;75 cl;RGE;annee:2007,couleur:RGE,contenant:75 cl,conditionnement:x 12 CB
779;AOP COTES DE BORDEAUX LES HAUTS DE PERREAU BEL AIR;169009;LES HAUTS DE PERREAU BEL AIR;10,5;394;1;NM;10,2;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
69;AOP 1ERES COTES DE BLAYE CHATEAU LES GRAVES DAVID;216001H;CHATEAU LA BRAULTERIE;3,31;1970;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
515;IGP ST GUILHEM LE DESERT LES SARDINES;174005;LES COTEAUX DU PIC;2,2;38;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
645;AOP MOULIS EN MEDOC CHATEAU TOUR GRANINS GRAND POUJEAUX;094003;CHATEAU GRANINS GRAND POUJEAUX;11,3;0;1;2012;1,47;x 6;150 cl;RGE;annee:2012,couleur:RGE,contenant:150 cl,conditionnement:x 6
614;AOP COTES DE BOURG CHATEAU DE LA GRAVE;040009;CHATEAU DE LA GRAVE;15,6;0;1;2011;4,5;x 3 CB;;RGE;annee:2011,couleur:RGE,contenant:,conditionnement:x 3 CB
62;AOP COTES DE BOURG TRADITION CHATEAU DE LA GRAVE;040006;CHATEAU DE LA GRAVE;3,65;886;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
656;AOP COTES DE PROVENCE ESTERELLE;059019;CHATEAU DU ROUET;7,1;0;1;2015;1,47;x 6;150 cl;RSE;annee:2015,couleur:RSE,contenant:150 cl,conditionnement:x 6
